Codigo,,,,,,,,,,,,Precio Referencial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CONTROL,
OG,OE,OP,AC,Codigo control,Proyecto,Grupo,Partida,Código Actividad Sistema,Detalle de actividad,Cant. ,Costo Unit., (Costo Total  Bs.) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,3,2,1232,RAINFOREST,VIAJES_RF,HOSPEDAJE NACIONAL,A2.5 / 7 / 7.5,Apoyar a la realización de campañas de patrullaje para el control territorial,1,"5.213,64","5.213,64",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5.213,64",
1,2,4,1,1241,RAINFOREST,GESTIÓN_DE_ÁREAS_PROTEGIDAS_RF,ALIMENTACIÓN/ VIVERES,A2.4 / 4 / 4.2,Reuniones de los Comités de Gestión,1,"4.922,89","4.922,89",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4.922,89",
1,2,4,1,1241,RAINFOREST,GESTIÓN_DE_ÁREAS_PROTEGIDAS_RF,ALQUILER SALON,A2.4 / 4 / 4.2,Reuniones de los Comités de Gestión,1,"6.683,84","6.683,84",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6.683,84",
1,2,4,1,1241,RAINFOREST,GESTIÓN_DE_ÁREAS_PROTEGIDAS_RF,PASAJES TERRESTRES NACIONALES,A2.4 / 4 / 4.2,Reuniones de los Comités de Gestión,1,"4.090,10","4.090,10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4.090,10",
1,2,4,1,1241,RAINFOREST,GESTIÓN_DE_ÁREAS_PROTEGIDAS_RF,HOSPEDAJE NACIONAL,A2.4 / 4 / 4.2,Reuniones de los Comités de Gestión,1,"5.512,42","5.512,42",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5.512,42",
1,2,4,1,1241,RAINFOREST,GESTIÓN_DE_ÁREAS_PROTEGIDAS_RF,VIATICOS,A2.4 / 4 / 4.2,Reuniones de los Comités de Gestión,1,"1.283,57","1.283,57",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1.283,57",
1,2,4,1,1241,RAINFOREST,GESTIÓN_DE_ÁREAS_PROTEGIDAS_RF,COMBUSTIBLE,A2.4 / 4 / 4.2,Reuniones de los Comités de Gestión,1,"6.764,90","6.764,90",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6.764,90",
1,2,4,1,1241,RAINFOREST,GESTIÓN_DE_ÁREAS_PROTEGIDAS_RF,ALQUILER VEHICULOS,A2.4 / 4 / 4.2,Reuniones de los Comités de Gestión,1,"6.862,42","6.862,42",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6.862,42",
1,2,4,1,1241,RAINFOREST,GESTIÓN_DE_ÁREAS_PROTEGIDAS_RF,"PAGO PONTOS, PEAJES, ETC.",A2.4 / 4 / 4.2,Reuniones de los Comités de Gestión,1,"6.862,39","6.862,39",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6.862,39",
1,2,4,1,1241,RAINFOREST,GESTIÓN_DE_ÁREAS_PROTEGIDAS_RF,SUMINISTROS DE OFICINA,A2.4 / 4 / 4.2,Reuniones de los Comités de Gestión,1,"1.359,14","1.359,14",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1.359,14",
1,2,4,1,1241,RAINFOREST,VIAJES_RF,PASAJES AÉREOS NACIONALES,A2.4 / 7 / 7.5,Reuniones de los Comités de Gestión,1,"1.580,60","1.580,60",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1.580,60",
1,2,4,1,1241,RAINFOREST,VIAJES_RF,PASAJES TERRESTRES NACIONALES,A2.4 / 7 / 7.5,Reuniones de los Comités de Gestión,1,"2.182,32","2.182,32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2.182,32",
1,2,4,1,1241,RAINFOREST,VIAJES_RF,COMBUSTIBLE,A2.4 / 7 / 7.5,Reuniones de los Comités de Gestión,1,"7.884,30","7.884,30",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7.884,30",
1,2,4,1,1241,RAINFOREST,VIAJES_RF,ALQUILER VEHÍCULOS,A2.4 / 7 / 7.5,Reuniones de los Comités de Gestión,1,"7.972,85","7.972,85",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7.972,85",
1,2,4,1,1241,RAINFOREST,VIAJES_RF,"PAGO PONTÓN, PEAJES, ETC",A2.4 / 7 / 7.5,Reuniones de los Comités de Gestión,1,"6.063,39","6.063,39",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6.063,39",
1,2,4,1,1241,RAINFOREST,VIAJES_RF,VIÁTICOS,A2.4 / 7 / 7.5,Reuniones de los Comités de Gestión,1,"560,45","560,45",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"560,45",
1,2,4,1,1241,RAINFOREST,VIAJES_RF,HOSPEDAJE NACIONAL,A2.4 / 7 / 7.5,Reuniones de los Comités de Gestión,1,"6.153,31","6.153,31",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6.153,31",
1,2,5,1,1251,RAINFOREST,TALLERES_Y_CAPACITACIONES_RF,ALIMENTACION/VIVERES,A2.7 / 6 / 6.1,Talleres de capacitación sobre áreas protegidas,1,"-0,01","-0,01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-0,01",
1,2,5,1,1251,RAINFOREST,TALLERES_Y_CAPACITACIONES_RF,ALQUILER DE SALON,A2.7 / 6 / 6.1,Talleres de capacitación sobre áreas protegidas,1,"6.113,23","6.113,23",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6.113,23",
1,2,5,1,1251,RAINFOREST,TALLERES_Y_CAPACITACIONES_RF,PASAJES TERRESTRES NACIONALES,A2.7 / 6 / 6.1,Talleres de capacitación sobre áreas protegidas,1,"4.023,43","4.023,43",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4.023,43",
1,2,5,1,1251,RAINFOREST,TALLERES_Y_CAPACITACIONES_RF,HOSPEDAJE NACIONAL,A2.7 / 6 / 6.1,Talleres de capacitación sobre áreas protegidas,1,"3.382,13","3.382,13",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3.382,13",
1,2,5,1,1251,RAINFOREST,TALLERES_Y_CAPACITACIONES_RF,VIATICOS,A2.7 / 6 / 6.1,Talleres de capacitación sobre áreas protegidas,1,"-0,01","-0,01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-0,01",
1,2,5,1,1251,RAINFOREST,TALLERES_Y_CAPACITACIONES_RF,COMBUSTIBLE,A2.7 / 6 / 6.1,Talleres de capacitación sobre áreas protegidas,1,"3.783,62","3.783,62",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3.783,62",
1,2,5,1,1251,RAINFOREST,TALLERES_Y_CAPACITACIONES_RF,ALQUILER DE VEHICULOS,A2.7 / 6 / 6.1,Talleres de capacitación sobre áreas protegidas,1,"6.113,23","6.113,23",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6.113,23",
1,2,5,1,1251,RAINFOREST,TALLERES_Y_CAPACITACIONES_RF,"PAGO PONTON, PEAJES, ETC.",A2.7 / 6 / 6.1,Talleres de capacitación sobre áreas protegidas,1,"5.335,37","5.335,37",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5.335,37",
1,2,5,1,1251,RAINFOREST,TALLERES_Y_CAPACITACIONES_RF,SUMINISTROS DE OFICINA,A2.7 / 6 / 6.1,Talleres de capacitación sobre áreas protegidas,1,"1.445,15","1.445,15",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1.445,15",
1,2,5,1,1251,RAINFOREST,VIAJES_RF,PASAJES AÉREOS NACIONALES,A2.7 / 7 / 7.5,Talleres de capacitación sobre áreas protegidas,1,"6.416,78","6.416,78",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6.416,78",
1,2,5,1,1251,RAINFOREST,VIAJES_RF,PASAJES TERRESTRES NACIONALES,A2.7 / 7 / 7.5,Talleres de capacitación sobre áreas protegidas,1,"215,53","215,53",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"215,53",
1,2,5,1,1251,RAINFOREST,VIAJES_RF,COMBUSTIBLE,A2.7 / 7 / 7.5,Talleres de capacitación sobre áreas protegidas,1,"6.416,78","6.416,78",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6.416,78",
1,2,5,1,1251,RAINFOREST,VIAJES_RF,ALQUILER VEHÍCULOS,A2.7 / 7 / 7.5,Talleres de capacitación sobre áreas protegidas,1,"6.416,78","6.416,78",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6.416,78",
1,2,5,1,1251,RAINFOREST,VIAJES_RF,"PAGO PONTÓN, PEAJES, ETC",A2.7 / 7 / 7.5,Talleres de capacitación sobre áreas protegidas,1,"1.043,09","1.043,09",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1.043,09",
1,2,5,1,1251,RAINFOREST,VIAJES_RF,VIÁTICOS,A2.7 / 7 / 7.5,Talleres de capacitación sobre áreas protegidas,1,"0,00","0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00",
1,2,5,1,1251,RAINFOREST,VIAJES_RF,HOSPEDAJE NACIONAL,A2.7 / 7 / 7.5,Talleres de capacitación sobre áreas protegidas,1,"5.741,78","5.741,78",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5.741,78",
1,2,5,1,1251,RAINFOREST,VIAJES_RF,PASAJES AÉREOS NACIONALES,A2.7 / 7 / 7.8,Reuniones con autoridades y otras reuniones,1,"10.115,31","10.115,31",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10.115,31",
1,2,5,1,1251,RAINFOREST,VIAJES_RF,PASAJES TERRESTRES NACIONALES,A2.7 / 7 / 7.8,Reuniones con autoridades y otras reuniones,1,"15.335,31","15.335,31",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15.335,31",
1,2,5,1,1251,RAINFOREST,VIAJES_RF,COMBUSTIBLE,A2.7 / 7 / 7.8,Reuniones con autoridades y otras reuniones,1,"15.335,31","15.335,31",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15.335,31",
1,2,5,1,1251,RAINFOREST,VIAJES_RF,ALQUILER VEHÍCULOS,A2.7 / 7 / 7.8,Reuniones con autoridades y otras reuniones,1,"15.335,31","15.335,31",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15.335,31",
1,2,5,1,1251,RAINFOREST,VIAJES_RF,"PAGO PONTÓN, PEAJES, ETC",A2.7 / 7 / 7.8,Reuniones con autoridades y otras reuniones,1,"15.060,81","15.060,81",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15.060,81",
1,2,5,1,1251,RAINFOREST,VIAJES_RF,VIÁTICOS,A2.7 / 7 / 7.8,Reuniones con autoridades y otras reuniones,1,"10.972,82","10.972,82",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10.972,82",
1,2,5,1,1251,RAINFOREST,VIAJES_RF,HOSPEDAJE NACIONAL,A2.7 / 7 / 7.8,Reuniones con autoridades y otras reuniones,1,"13.859,10","13.859,10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"13.859,10",
1,2,6,1,1261,RAINFOREST,TALLERES_Y_CAPACITACIONES_RF,ALIMENTACION/VIVERES,A4.2 / 6 / 6.1,Reuniones de apoyo a GAD Pando para reuniones de la RECPA,1,"3.212,31","3.212,31",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3.212,31",
1,2,6,1,1261,RAINFOREST,TALLERES_Y_CAPACITACIONES_RF,ALQUILER DE SALON,A4.2 / 6 / 6.1,Reuniones de apoyo a GAD Pando para reuniones de la RECPA,1,"3.212,31","3.212,31",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3.212,31",
1,2,6,1,1261,RAINFOREST,TALLERES_Y_CAPACITACIONES_RF,PASAJES TERRESTRES NACIONALES,A4.2 / 6 / 6.1,Reuniones de apoyo a GAD Pando para reuniones de la RECPA,1,"3.214,73","3.214,73",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3.214,73",
1,2,6,1,1261,RAINFOREST,TALLERES_Y_CAPACITACIONES_RF,HOSPEDAJE NACIONAL,A4.2 / 6 / 6.1,Reuniones de apoyo a GAD Pando para reuniones de la RECPA,1,"3.212,31","3.212,31",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3.212,31",
1,2,6,1,1261,RAINFOREST,TALLERES_Y_CAPACITACIONES_RF,VIATICOS,A4.2 / 6 / 6.1,Reuniones de apoyo a GAD Pando para reuniones de la RECPA,1,"3.212,31","3.212,31",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3.212,31",
1,2,6,1,1261,RAINFOREST,TALLERES_Y_CAPACITACIONES_RF,COMBUSTIBLE,A4.2 / 6 / 6.1,Reuniones de apoyo a GAD Pando para reuniones de la RECPA,1,"2.653,67","2.653,67",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2.653,67",
1,2,6,1,1261,RAINFOREST,TALLERES_Y_CAPACITACIONES_RF,ALQUILER DE VEHICULOS,A4.2 / 6 / 6.1,Reuniones de apoyo a GAD Pando para reuniones de la RECPA,1,"3.212,31","3.212,31",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3.212,31",
